Age of Youngest Offspring,follow
2.62739726,3829
2.624657534,3826
2.621917808,3824
2.323287671,3606
2.320547945,3603
2.317808219,3600
2.315068493,3597
2.312328767,3593
2.309589041,3591
2.306849315,3589
2.304109589,3586
2.301369863,3583
2.298630137,3580
2.295890411,3578
2.238356164,3543
5.873972603,3765
5.871232877,3764
5.802739726,3685
2.246575342,3554
2.243835616,3551
2.235616438,3539
2.22739726,3529
2.224657534,3527
6.591780822,5678
0.301369863,5487
1.054794521,5710
7.008219178,5753
6.98630137,5751
6.978082192,5748
5.846575342,3641
2.293150685,3577
2.331506849,3616
6.890410959,5735
1.194520548,5739
1.191780822,5738
1.197260274,5740
0.315068493,5495
0.328767123,5498
0.326027397,5497
0.323287671,5496
0.342465753,5500
0.339726027,5499
2.054794521,5501
2.060273973,5503
2.057534247,5502
4.128767123,5528
4.131506849,5531
4.134246575,5535
4.136986301,5538
0.835616438,5663
2.484931507,4825
2.479452055,4821
0.005479452,4659
3.238356164,5209
3.210958904,5202
3.208219178,5199
7.208219178,5195
3.202739726,5193
2.989041096,5091
2.989041096,5093
2.980821918,5079
0.950684932,5070
0.947945205,5069
1.446575342,5047
1.443835616,5039
0.904109589,5029
2.882191781,5015
4.879452055,5011
2.879452055,5013
1.64109589,5413
2010.972603,5396
3.610958904,5375
7.493150685,5329
3.446575342,5303
3.443835616,5300
5.367123288,5262
1.884931507,5231
2.936986301,5036
2.873972603,5003
2.871232877,4999
0.008219178,4660
3.021917808,4657
3.016438356,4651
2.901369863,4600
1.115068493,3038
1.112328767,3035
1.109589041,3032
1.106849315,3029
1.104109589,3027
1.101369863,3025
1.098630137,3022
1.095890411,3018
1.093150685,3014
1.052054795,2985
0.975342466,2964
0.956164384,2949
0.947945205,2945
0.824657534,2873
0.808219178,2851
0.794520548,2847
0.783561644,2834
0.77260274,2825
0.720547945,2802
0.717808219,2800
0.715068493,2798
0.709589041,2794
0.673972603,2752
0.663013699,2741
0.578082192,2720
0.556164384,2699
0.553424658,2697
0.550684932,2694
0.547945205,2691
0.536986301,2675
0.534246575,2670
0.531506849,2665
0.528767123,2662
0.526027397,2660
0.523287671,2658
0.512328767,2642
0.487671233,2608
0.482191781,2598
0.468493151,2584
0.41369863,2552
0.394520548,2538
0.380821918,2528
0.35890411,2504
0.356164384,2502
0.336986301,2483
0.306849315,2462
0.265753425,2438
0.260273973,2435
0.257534247,2434
0.183561644,2411
0.169863014,2398
0.142465753,2379
0.090410959,2373
0.084931507,2362
0.079452055,2352
0.065753425,2325
0.063013699,2318
0.060273973,2310
0.057534247,2304
0.054794521,2299
0.049315068,2289
0.046575342,2285
0.038356164,2274
0.035616438,2269
0.024657534,2253
0.021917808,2248
0.019178082,2243
0.010958904,2228
0.005479452,2218
7.82739726,2205
7.824657534,2202
7.808219178,2184
7.561643836,1994
7.556164384,1985
7.539726027,1957
7.536986301,1951
7.531506849,1941
7.468493151,1842
7.460273973,1833
7.347945205,1755
7.178082192,1645
7.021917808,1507
7.019178082,1501
7.002739726,1479
6.61369863,1231
6.605479452,1224
6.597260274,1217
6.528767123,1159
6.520547945,1152
6.517808219,1150
6.515068493,1147
6.504109589,1134
6.493150685,1125
6.463013699,1108
6.331506849,1083
6.315068493,1076
6.271232877,1047
6.263013699,1040
6.257534247,1032
6.249315068,1024
6.189041096,981
7.528767123,1936
7.526027397,1933
7.520547945,1926
7.517808219,1923
7.487671233,1876
7.484931507,1870
7.479452055,1859
3.142465753,1849
7.473972603,1850
7.471232877,1846
3.134246575,1838
7.465753425,1839
7.457534247,1830
7.449315068,1822
7.443835616,1818
3.063013699,1799
7.394520548,1800
7.391780822,1794
7.010958904,1487
7.005479452,1481
6.983561644,1467
6.969863014,1456
6.953424658,1440
6.950684932,1437
6.942465753,1431
6.936986301,1423
6.931506849,1418
6.926027397,1410
6.909589041,1388
6.904109589,1377
6.901369863,1374
6.191780822,983
7.515068493,1921
7.512328767,1918
7.506849315,1908
7.501369863,1898
7.498630137,1893
7.493150685,1885
7.490410959,1880
7.438356164,1816
7.432876712,1813
6.912328767,1392
6.915068493,1396
6.739726027,1270
6.632876712,1245
6.630136986,1243
6.756164384,4191
1.443835616,3187
1.435616438,3177
1.380821918,3161
1.375342466,3159
1.37260274,3158
1.369863014,3157
1.263013699,3116
0.42739726,2561
0.416438356,2554
7.504109589,1904
2.873972603,1772
0.402739726,591
0.575342466,200
6.709589041,4
6.221917808,3993
2.887671233,3996
2.610958904,3815
4.391780822,2916
4.326027397,2872
2.512328767,2767
0.246575342,2427
3.260273973,2082
1998.934247,2030
7.602739726,2020
1998.808219,1868
3.835616438,1712
3.824657534,1697
2.775342466,1667
6.547945205,1558
6.545205479,1553
2.4,1304
1.528767123,937
1.482191781,918
2.164383562,745
1.284931507,561
0.580821918,204
1.057534247,57
3.098630137,4701
2.095890411,4700
3.093150685,4696
5.580821918,4684
5.569863014,4674
5.567123288,4670
5.564383562,4668
5.561643836,4667
0.002739726,4658
0,4656
3.019178082,4654
3.010958904,4646
3.961643836,4629
3.95890411,4627
2.526027397,4845
2.504109589,4837
3.347945205,4786
3.345205479,4784
3.342465753,4782
3.339726027,4780
3.323287671,4772
3.095890411,4699
1.293150685,569
23.08219178,1603
23.40547945,1803
23.40273973,1798
1999.084932,2158
19.72876712,2115
3.55890411,2385
1998.824658,1896
0.745205479,1892
4.068493151,3546
6.531506849,1519
6.208219178,1000
0.397260274,587
4.720547945,577
6.884931507,117
5.756164384,778
4.816438356,644
4.723287671,582
3.857534247,96
3.854794521,92
4.717808219,574
4.676712329,555
4.054794521,247
6.893150685,126
0.734246575,343
0.671232877,282
0.665753425,276
1995.334247,210
1.369863014,815
0.038356164,454
7.583561644,2016
2.843835616,1643
6.430136986,4119
1.964383562,3434
2000.315068,3078
0.04109589,2278
2.775342466,3939
6.778082192,4206
6.775342466,4203
1.367123288,3155
0.087671233,2368
2.545205479,1353
0.690410959,968
4.065753425,3542
3.736986301,1636
3.098630137,4125
5.254794521,3304
4.389041096,2914
6.780821918,4209
3.635616438,1571
6.553424658,1569
6.194520548,987
4.668493151,3085
4.643835616,3066
3.498630137,1394
0.567123288,2711
0.564383562,2708
2.35890411,2667
0.405479452,2546
0.342465753,2488
6.202739726,995
6.997260274,1476
1997.586301,1038
0.093150685,2377
4.460273973,3050
3.183561644,2079
2.397260274,1367
0.591780822,2733
2.361643836,2672
4.005479452,2631
0.019178082,1763
6.243835616,1017
3.849315068,3466
3.846575342,3464
3.843835616,3462
3.84109589,3461
3.347945205,2230
3.219178082,2113
3.202739726,1234
6.619178082,1235
6.616438356,1233
3.2,1232
3.739726027,4429
0.043835616,4406
6.989041096,1867
6.98630137,1861
3.547945205,4258
0.016438356,1759
1.057534247,1722
2001.572603,3627
0.328767123,2478
0.304109589,2460
0.301369863,2458
2.230136986,
0.295890411,2454
0.293150685,2452
4.906849315,681
0.652054795,258
4.739726027,594
2.898630137,4015
2.895890411,4011
2.890410959,4001
2.884931507,3990
2.871232877,3977
7.61369863,2035
7.547945205,1970
3.55890411,4268
3.545205479,4255
3.504109589,4232
7.495890411,1889
1.057534247,2990
0.657534247,2736
0.501369863,2629
7.04109589,4248
2.512328767,1486
6.35890411,4068
0.989041096,2972
0.98630137,2971
0.983561644,2969
3.367123288,2263
3.517808219,2237
0.961643836,2953
0.95890411,2951
0.945205479,2944
0.939726027,2940
0.906849315,2924
0.904109589,2923
0.82739726,2876
0.821917808,2868
0.819178082,2864
6.273972603,1049
6.21369863,1004
2.317808219,1297
1.378082192,3955
4.21369863,2907
3.857534247,2657
1.969863014,2380
0.780821918,1944
2.95890411,3059
3.520547945,1422
3.58630137,2361
6.402739726,4094
2.079452055,3484
1.890410959,2319
1.887671233,2313
2.553424658,1360
6.224657534,3998
5.868493151,3761
7.446575342,1820
4.589041096,3105
2.550684932,1358
1.010958904,2977
2.416438356,1320
2.410958904,1316
2.975342466,4044
1.923287671,3403
4.734246575,4032
1.912328767,3392
4.728767123,4022
4.726027397,4016
1.901369863,3385
1.898630137,3382
2000.016438,2904
2000.013699,2901
2000.010959,2899
2000.008219,2897
2000.005479,2895
3.663013699,3964
3.657534247,3357
3.654794521,3353
3.652054795,3350
3.649315068,3346
0.805479452,2848
2.761643836,3930
5.257534247,3306
3.238356164,2007
4.035616438,2783
7.534246575,1946
6,3855
0.654794521,2735
6.980821918,1852
6.975342466,1844
6.454794521,1097
2.58630137,3801
2.583561644,3798
2.369863014,2686
6.893150685,1793
2.367123288,2682
2.356164384,2664
1.084931507,1747
1.082191781,1744
0.38630137,2532
0.17260274,2401
0.178082192,2407
0.175342466,2404
4.402739726,4578
4.397260274,4575
4.394520548,4574
4.106849315,3574
4.104109589,3572
1998.424658,1608
1998.421918,1605
6.019178082,1498
1998.339726,1494
1998.336986,1490
2.961643836,3062
1.967123288,2378
4.671232877,3088
2.115068493,3513
2000.317808,3080
4.471232877,3064
4.468493151,3060
4.465753425,3057
4.463013699,3054
3.104109589,4132
6.435616438,4128
6.405479452,4097
4.421917808,3006
2.876712329,3983
4.216438356,2909
2.868493151,3974
2000.00274,2892
1999.994521,2884
1.832876712,3359
1.830136986,3355
1.82739726,3351
1.824657534,3347
1.821917808,3343
1.819178082,3340
1.816438356,3335
3.660273973,3961
1.81369863,3330
2.791780822,3948
2.783561644,3944
2.767123288,3932
2.764383562,3931
1.717808219,3301
1.715068493,3299
1.712328767,3297
1.709589041,3295
1.706849315,3293
4.038356164,2785
1998.854795,1938
1.698630137,3281
1.695890411,3278
1.693150685,3274
1.690410959,3271
4.02739726,2778
1.687671233,3269
1.671232877,3259
1.668493151,3254
1.665753425,3250
1.660273973,3244
9.490410959,3241
2.553424658,3779
1.654794521,3239
1.652054795,3237
1.646575342,3231
1.643835616,3229
1.64109589,3227
3.854794521,2652
4.421917808,4586
4.419178082,4585
4.41369863,4583
4.410958904,4582
0.736986301,4579
0.734246575,4577
0.520547945,4571
0.720547945,4572
0.715068493,4569
3.37260274,4170
1997.10137,793
0.663013699,4568
3.369863014,4169
0.55890411,2702
0.498630137,2626
0.490410959,2614
1.454794521,3200
1.452054795,3197
0.402739726,2544
0.375342466,2524
1.271232877,3120
1.268493151,3119
1.260273973,3113
1.257534247,3109
1.252054795,3102
1.249315068,3099
0.693150685,298
0.657534247,267
0.687671233,294
1.490410959,921
4.901369863,678
5.75890411,781
4.84109589,662
4.835616438,658
4.824657534,653
2.389041096,824
5.704109589,764
5.797260274,818
1.257534247,751
6.898630137,132
1.37260274,817
2.353424658,785
2.328767123,770
4.904109589,680
4.898630137,676
4.430136986,441
0.654794521,263
0.356164384,159
0.673972603,285
5.802739726,822
3.397260274,4181
3.394520548,4178
3.101369863,4130
2002.063014,4030
7.567123288,2003
7.564383562,1998
6.2,992
5.693150685,755
4.323287671,2867
4.394520548,2918
4.38630137,2912
5.969863014,3687
4.501369863,3084
4.42739726,2929
4.424657534,2926
0.994520548,3642
3.032876712,1094
5.879452055,3771
5.147945205,3328
5.038356164,3288
5.035616438,3283
3.520547945,2412
3.517808219,2410
3.515068493,2408
0.435616438,1539
6.57260274,1601
3.767123288,1653
2.569863014,3789
2.567123288,3787
2.564383562,3785
2.575342466,3792
2.561643836,3783
2.55890411,3781
2.556164384,3780
1999.054795,2128
1.054794521,1720
0.271232877,4542
4.04109589,2789
0.778082192,1939
0.747945205,1897
2.621917808,1559
2.619178082,1554
3.747945205,4443
1.895890411,3379
1.857534247,3366
0.575342466,2718
0.364383562,2508
0.290410959,2450
4.030136986,2780
0.021917808,1767
3.493150685,1383
2.260273973,3569
0.58630137,2729
7.389041096,1791
7.380821918,1780
4.257534247,4561
4.254794521,4560
4.246575342,4557
4.238356164,4556
3.939726027,4535
3.934246575,4531
3.931506849,4530
3.852054795,4516
3.846575342,4511
3.830136986,4498
3.819178082,4488
3.745205479,4438
3.736986301,4426
3.731506849,4420
3.679452055,4383
3.676712329,4380
3.673972603,4376
3.665753425,4365
3.657534247,4353
3.652054795,4347
3.646575342,4343
3.643835616,4340
3.64109589,4339
3.58630137,4291
3.569863014,4283
3.564383562,4275
3.561643836,4271
3.556164384,4266
3.553424658,4264
6.22739726,4005
6.164383562,3957
6.060273973,3884
5.153424658,3338
5.150684932,3332
3.424657534,2370
2.515068493,1491
3.947945205,4544
3.936986301,4533
3.608219178,4320
1998.939726,2038
4.252054795,4559
3.843835616,4509
3.84109589,4508
3.832876712,4501
3.753424658,4451
3.668493151,4369
3.654794521,4349
3.602739726,4314
3.597260274,4306
3.594520548,4302
3.589041096,4294
0.742465753,1888
0.736986301,1878
0.649315068,4566
0.646575342,4565
0.276712329,4550
3.953424658,4552
0.273972603,4546
0.268493151,4539
3.838356164,4506
3.824657534,4494
0.071232877,4441
0.060273973,4425
0.057534247,4421
0.052054795,4415
0.049315068,4411
0.046575342,4407
0.04109589,4404
4.024657534,2773
4.002739726,2628
0.126027397,4464
3.835616438,4504
0.068493151,4436
0.054794521,4418
2.580821918,3796
0.37260274,2522
0.284931507,2446
0.279452055,2443
2.578082192,3794
0.268493151,2440
0.252054795,2431
0.189041096,2414
0.361643836,2506
0.353424658,2500
0.254794521,2433
2.687671233,3865
2.646575342,3840
2.591780822,3806
8.131506849,2456
4.095890411,1915
2.715068493,3873
2.712328767,3871
2.991780822,4057
2.989041096,4056
2.983561644,4053
2.980821918,4050
2.978082192,4047
2.882191781,3987
2.731506849,3891
2.728767123,3888
2.723287671,3882
2.663013699,3852
2.660273973,3849
2.654794521,3844
2.649315068,3842
2.643835616,3839
2.638356164,3837
2.616438356,3819
2.61369863,3817
2.602739726,3810
2.6,3809
2.594520548,3808
2.589041096,3804
2.57260274,3790
1.926027397,3405
1.920547945,3400
0.726027397,2806
0.509589041,2639
0.449315068,2564
2.753424658,3922
2.750684932,3917
2.747945205,3912
2.745205479,3906
2.742465753,3901
2.726027397,3885
8.210958904,2526
8.180821918,2494
8.167123288,2481
8.082191781,2429
8.076712329,2425
8.032876712,2418
8.030136986,2417
8.02739726,2416
7.624657534,2049
7.550684932,1975
7.542465753,1961
6.265753425,1043
2.756164384,3926
7.619178082,2043
2.75890411,3928
2.780821918,3942
2.778082192,3940
2.77260274,3937
2.769863014,3935
0.052054795,4523
7.150684932,4480
2.873972603,3980
2.797260274,3951
2.794520548,3950
7.147945205,4474
7.139726027,4466
7.136986301,4463
7.087671233,4449
7.084931507,4445
7.082191781,4440
7.079452055,4435
7.076712329,4431
7.052054795,4403
7.002739726,4367
7,4362
2.879452055,3986
0.18630137,4517
0.183561644,4515
0.030136986,2261
0.153424658,4491
0.150684932,4487
0.052054795,2294
0.147945205,4482
0.145205479,4476
0.128767123,4460
0.126027397,4457
0.030136986,4397
0.02739726,4395
0.024657534,4393
0.021917808,4391
0.145205479,2382
0.082191781,2357
0.076712329,2346
0.071232877,2336
0.019178082,4389
0.016438356,4387
0.01369863,4385
0.008219178,4379
0.005479452,4375
7.164383562,4359
0.153424658,2387
0,4368
1.01369863,2979
1.008219178,2975
0.167123288,2396
7.156164384,4348
7.150684932,4344
7.115068493,4324
6.306849315,1073
6.054794521,955
0.010958904,1228
6.569863014,1186
6.58630137,1205
7.109589041,4319
2.156164384,1196
7.101369863,4309
7.095890411,4301
7.093150685,4297
7.090410959,4293
7.071232877,4282
7.068493151,4278
7.065753425,4274
0.008219178,1226
3.002739726,1746
2.994520548,1737
2.15890411,1200
2.849315068,1649
0.002739726,1223
7.38630137,1788
7.383561644,1785
2.802739726,1675
7.35890411,1768
7.356164384,1765
6.526027397,1157
6.506849315,1137
7.345205479,1753
7.180821918,1650
7.04109589,1550
3.175342466,1208
6.531506849,1161
6.523287671,1154
6.509589041,1140
0.767123288,2823
4.293150685,2843
4.287671233,2836
4.284931507,2833
0.780821918,2831
0.769863014,2824
4.290410959,2839
0.775342466,2826
0.791780822,2844
0.789041096,2840
0.78630137,2837
7.01369863,1492
0.704109589,2787
6.205479452,998
0.742465753,2819
2.936986301,154
0.682191781,2761
0.671232877,2749
0.389041096,2534
0.706849315,2791
0.687671233,2769
0.736986301,2813
0.731506849,2808
0.723287671,2804
0.739726027,2816
0.734246575,2810
2.517808219,2777
2.515068493,2772
2.112328767,3511
2.109589041,3509
2.106849315,3506
2.101369863,3500
2.098630137,3498
2.095890411,3496
2.093150685,3494
2.090410959,3492
2.087671233,3490
2.084931507,3488
2.082191781,3486
2.073972603,3482
2.005479452,3458
2.002739726,3456
1.994520548,3450
1.991780822,3447
1.989041096,3444
1.98630137,3442
1.980821918,3438
1.978082192,3437
1.942465753,3426
1.936986301,3421
1.931506849,3413
1.928767123,3408
5.465753425,3475
5.271232877,3419
5.265753425,3411
5.235616438,3384
5.230136986,3377
5.22739726,3376
5.21369863,3372
2002.30137,4134
2001.690411,3760
4.457534247,3047
4.22739726,2917
3.046575342,1106
3.550684932,4261
7.043835616,4251
3.542465753,4252
3.539726027,4249
7.038356164,4245
3.536986301,4246
7.032876712,4242
5.210958904,3370
4.221917808,2913
4.219178082,2911
4.383561644,2910
4.380821918,2908
4.019178082,2649
4.010958904,2638
4.008219178,2635
3.964383562,2578
3.961643836,2574
7.030136986,4240
2.501369863,3717
2.473972603,3698
2.468493151,3688
2.465753425,3682
7.02739726,4238
2.457534247,3667
2.454794521,3660
2.257534247,3566
2.254794521,3563
2.252054795,3560
0.997260274,3643
0.391780822,2536
1998.569863,1704
1998.558904,1688
1998.556164,1684
6.567123288,1594
6.564383562,1589
6.55890411,1582
2.871232877,1771
2.989041096,1732
2.832876712,1717
3.832876712,1709
2.830136986,1714
2.824657534,1707
2.819178082,1699
2.8,1673
3.698630137,1612
3.649315068,1595
3.934246575,1756
3.82739726,1701
3.830136986,1705
2.526027397,3753
2.523287671,3749
2.517808219,3741
2.515068493,3738
2.512328767,3735
2.509589041,3731
2.506849315,3727
3.84109589,1718
2.528767123,3756
3.928767123,1752
3.923287671,1748
3.739726027,1638
3.731506849,1632
3.712328767,1625
6.038356164,3869
3.715068493,1626
3.709589041,1623
3.816438356,1685
3.791780822,1669
3.780821918,1665
3.778082192,1662
10.65205479,1590
3.62739726,1555
3.619178082,1534
3.794520548,1670
3.77260274,1657
3.769863014,1655
1.663013699,3247
4.712328767,3140
4.706849315,3134
4.594520548,3112
4.506849315,3091
4.591780822,3107
4.093150685,1910
4.090410959,1906
6.895890411,1797
3.15890411,1879
3.147945205,1858
3.161643836,1884
3.230136986,1993
3.224657534,1984
3.221917808,1979
3.219178082,1974
3.208219178,1956
3.180821918,1917
3.136986301,1841
3.068493151,1807
3.065753425,1804
3.161643836,2062
3.156164384,2060
3.610958904,1516
